id,name,episode,agent,kill,death,time
0,enemy,0,Conqueror,35.0,0,60
0,enemy,1,Manager,40.0,0,60
0,enemy,2,Artisan,17.0,1,36
0,enemy,3,Guardian,0.0,0,60
0,enemy,4,Explorer,5.0,1,18
0,enemy,5,Conqueror,35.0,0,60
0,enemy,6,Manager,42.0,0,60
0,enemy,7,Artisan,16.0,1,38
0,enemy,8,Guardian,7.0,1,24
0,enemy,9,Explorer,7.0,1,22
1,enemy,0,Conqueror,39.0,0,60
1,enemy,1,Manager,13.0,1,18
1,enemy,2,Artisan,6.0,1,10
1,enemy,3,Guardian,6.0,1,16
1,enemy,4,Explorer,5.0,1,22
1,enemy,5,Conqueror,42.0,0,60
1,enemy,6,Manager,28.0,1,49
1,enemy,7,Artisan,13.0,1,34
1,enemy,8,Guardian,4.0,1,17
1,enemy,9,Explorer,9.0,1,17
2,enemy,0,Conqueror,41.0,0,60
2,enemy,1,Manager,31.0,1,52
2,enemy,2,Artisan,12.0,1,17
2,enemy,3,Guardian,0.0,0,60
2,enemy,4,Explorer,2.0,1,20
2,enemy,5,Conqueror,49.0,0,60
2,enemy,6,Manager,41.0,0,60
2,enemy,7,Artisan,9.0,1,25
2,enemy,8,Guardian,0.0,0,60
2,enemy,9,Explorer,12.0,1,24
3,enemy,0,Conqueror,45.0,0,60
3,enemy,1,Manager,41.0,0,60
3,enemy,2,Artisan,17.0,1,26
3,enemy,3,Guardian,5.0,1,19
3,enemy,4,Explorer,19.0,1,42
3,enemy,5,Conqueror,54.0,0,60
3,enemy,6,Manager,41.0,0,60
3,enemy,7,Artisan,18.0,1,30
3,enemy,8,Guardian,0.0,0,60
3,enemy,9,Explorer,14.0,1,21
4,enemy,0,Conqueror,41.0,0,60
4,enemy,1,Manager,46.0,1,59
4,enemy,2,Artisan,10.0,1,25
4,enemy,3,Guardian,0.0,0,60
4,enemy,4,Explorer,7.0,1,32
4,enemy,5,Conqueror,11.0,1,28
4,enemy,6,Manager,50.0,0,60
4,enemy,7,Artisan,2.0,1,12
4,enemy,8,Guardian,2.0,1,9
4,enemy,9,Explorer,8.0,1,31
5,enemy,0,Conqueror,62.0,0,60
5,enemy,1,Manager,0.0,1,18
5,enemy,2,Artisan,10.0,1,29
5,enemy,3,Guardian,0.0,0,60
5,enemy,4,Explorer,0.0,1,9
5,enemy,5,Conqueror,47.0,0,60
5,enemy,6,Manager,72.0,0,60
5,enemy,7,Artisan,10.0,1,25
5,enemy,8,Guardian,0.0,0,60
5,enemy,9,Explorer,2.0,1,16
6,enemy,0,Conqueror,37.0,0,60
6,enemy,1,Manager,40.0,0,60
6,enemy,2,Artisan,8.0,1,14
6,enemy,3,Guardian,9.0,1,17
6,enemy,4,Explorer,6.0,1,28
6,enemy,5,Conqueror,46.0,0,60
6,enemy,6,Manager,17.0,1,24
6,enemy,7,Artisan,16.0,1,36
6,enemy,8,Guardian,18.0,1,40
6,enemy,9,Explorer,5.0,1,11
7,enemy,0,Conqueror,49.0,0,60
7,enemy,1,Manager,42.0,0,60
7,enemy,2,Artisan,12.0,1,30
7,enemy,3,Guardian,0.0,0,60
7,enemy,4,Explorer,7.0,1,17
7,enemy,5,Conqueror,56.0,0,60
7,enemy,6,Manager,40.0,0,60
7,enemy,7,Artisan,31.0,1,51
7,enemy,8,Guardian,10.0,1,33
7,enemy,9,Explorer,2.0,1,13
8,enemy,0,Conqueror,41.0,0,60
8,enemy,1,Manager,41.0,0,60
8,enemy,2,Artisan,10.0,1,26
8,enemy,3,Guardian,12.0,1,14
8,enemy,4,Explorer,6.0,1,11
8,enemy,5,Conqueror,41.0,0,60
8,enemy,6,Manager,57.0,0,60
8,enemy,7,Artisan,13.0,1,23
8,enemy,8,Guardian,10.0,1,36
8,enemy,9,Explorer,11.0,1,32
