id,name,episode,agent,start_time,end_time,kill,dead
0,enemy,0,defensive,2022-11-16 23:12:19.577784,2022-11-16 23:14:22.960690,0,2.0
0,enemy,1,aggressive,2022-11-16 23:14:23.209765,2022-11-16 23:16:27.287073,0,2.0
0,enemy,2,aimer,2022-11-16 23:16:27.477072,2022-11-16 23:18:30.594559,0,5.0
0,enemy,3,hider,2022-11-16 23:18:30.788559,2022-11-16 23:20:34.257132,0,3.0
0,enemy,4,runner,2022-11-16 23:20:34.464050,2022-11-16 23:22:37.257735,0,15.0
0,enemy,5,defensive,2022-11-16 23:22:37.492302,2022-11-16 23:24:40.315325,0,2.0
0,enemy,6,aggressive,2022-11-16 23:24:40.505356,2022-11-16 23:26:44.381753,0,3.0
0,enemy,7,aimer,2022-11-16 23:26:44.637248,2022-11-16 23:28:47.892100,0,3.0
0,enemy,8,hider,2022-11-16 23:28:48.124660,2022-11-16 23:30:52.001812,0,4.0
0,enemy,9,runner,2022-11-16 23:30:52.262397,2022-11-16 23:32:55.358305,0,13.0
