id,name,episode,agent,start_time,end_time,kill,dead
0,enemy,0,defensive,2022-11-18 13:08:34.164578,2022-11-18 13:09:15.094112,10.0,1
0,enemy,1,aggressive,2022-11-18 13:09:15.131128,2022-11-18 13:09:27.471416,2.0,1
0,enemy,2,aimer,2022-11-18 13:09:27.502416,2022-11-18 13:09:54.667514,9.0,1
0,enemy,3,hider,2022-11-18 13:09:54.703512,2022-11-18 13:10:54.734081,0.0,0
0,enemy,4,runner,2022-11-18 13:10:54.772081,2022-11-18 13:11:09.447835,3.0,1
0,enemy,5,defensive,2022-11-18 13:11:09.479835,2022-11-18 13:12:09.495530,42.0,0
0,enemy,6,aggressive,2022-11-18 13:12:09.529529,2022-11-18 13:13:09.548215,40.0,0
0,enemy,7,aimer,2022-11-18 13:13:09.584215,2022-11-18 13:13:31.033400,17.0,1
0,enemy,8,hider,2022-11-18 13:13:31.066400,2022-11-18 13:13:50.833631,4.0,1
0,enemy,9,runner,2022-11-18 13:13:50.868635,2022-11-18 13:13:58.705633,0.0,1
1,enemy,0,defensive,2022-11-18 13:13:58.735631,2022-11-18 13:14:08.455650,3.0,1
1,enemy,1,aggressive,2022-11-18 13:14:08.488650,2022-11-18 13:14:29.865276,13.0,1
1,enemy,2,aimer,2022-11-18 13:14:29.897278,2022-11-18 13:15:06.857653,26.0,1
1,enemy,3,hider,2022-11-18 13:15:06.890622,2022-11-18 13:15:22.518069,3.0,1
1,enemy,4,runner,2022-11-18 13:15:22.550060,2022-11-18 13:16:13.707247,25.0,1
1,enemy,5,defensive,2022-11-18 13:16:13.742249,2022-11-18 13:17:05.764381,21.0,1
1,enemy,6,aggressive,2022-11-18 13:17:05.796376,2022-11-18 13:17:44.215225,20.0,1
1,enemy,7,aimer,2022-11-18 13:17:44.249226,2022-11-18 13:17:54.282937,3.0,1
1,enemy,8,hider,2022-11-18 13:17:54.309937,2022-11-18 13:18:08.324874,4.0,1
1,enemy,9,runner,2022-11-18 13:18:08.358874,2022-11-18 13:18:13.241746,0.0,1
2,enemy,0,defensive,2022-11-18 13:18:13.269543,2022-11-18 13:19:13.274017,41.0,0
2,enemy,1,aggressive,2022-11-18 13:19:13.306017,2022-11-18 13:20:13.309229,51.0,0
2,enemy,2,aimer,2022-11-18 13:20:13.339229,2022-11-18 13:20:41.431035,13.0,1
2,enemy,3,hider,2022-11-18 13:20:41.465006,2022-11-18 13:21:08.193348,8.0,1
2,enemy,4,runner,2022-11-18 13:21:08.226339,2022-11-18 13:21:33.989821,10.0,1
2,enemy,5,defensive,2022-11-18 13:21:34.018814,2022-11-18 13:22:34.042065,40.0,0
2,enemy,6,aggressive,2022-11-18 13:22:34.079066,2022-11-18 13:22:57.355922,7.0,1
2,enemy,7,aimer,2022-11-18 13:22:57.387925,2022-11-18 13:23:50.741441,32.0,1
2,enemy,8,hider,2022-11-18 13:23:50.771441,2022-11-18 13:24:50.774283,0.0,0
2,enemy,9,runner,2022-11-18 13:24:50.805287,2022-11-18 13:25:07.472402,2.0,1
3,enemy,0,defensive,2022-11-18 13:25:07.503404,2022-11-18 13:26:07.520776,41.0,0
3,enemy,1,aggressive,2022-11-18 13:26:07.552776,2022-11-18 13:26:39.641957,14.0,1
3,enemy,2,aimer,2022-11-18 13:26:39.674957,2022-11-18 13:27:03.100643,16.0,1
3,enemy,3,hider,2022-11-18 13:27:03.134645,2022-11-18 13:28:03.155084,0.0,0
3,enemy,4,runner,2022-11-18 13:28:03.189084,2022-11-18 13:28:17.439501,2.0,1
3,enemy,5,defensive,2022-11-18 13:28:17.473502,2022-11-18 13:28:40.911383,7.0,1
3,enemy,6,aggressive,2022-11-18 13:28:40.944383,2022-11-18 13:29:40.947702,39.0,0
3,enemy,7,aimer,2022-11-18 13:29:40.983702,2022-11-18 13:30:16.698489,15.0,1
3,enemy,8,hider,2022-11-18 13:30:16.734481,2022-11-18 13:30:54.372638,18.0,1
3,enemy,9,runner,2022-11-18 13:30:54.409632,2022-11-18 13:31:20.195132,10.0,1
4,enemy,0,defensive,2022-11-18 13:31:20.228126,2022-11-18 13:31:40.245662,7.0,1
4,enemy,1,aggressive,2022-11-18 13:31:40.279693,2022-11-18 13:32:40.294693,51.0,0
4,enemy,2,aimer,2022-11-18 13:32:40.326694,2022-11-18 13:33:12.537666,19.0,1
4,enemy,3,hider,2022-11-18 13:33:12.572551,2022-11-18 13:33:31.617879,5.0,1
4,enemy,4,runner,2022-11-18 13:33:31.648871,2022-11-18 13:34:21.938791,27.0,1
4,enemy,5,defensive,2022-11-18 13:34:21.973783,2022-11-18 13:35:21.994392,41.0,0
4,enemy,6,aggressive,2022-11-18 13:35:22.026392,2022-11-18 13:36:13.674951,33.0,1
4,enemy,7,aimer,2022-11-18 13:36:13.708955,2022-11-18 13:36:36.372469,8.0,1
4,enemy,8,hider,2022-11-18 13:36:36.412466,2022-11-18 13:36:55.112303,3.0,1
4,enemy,9,runner,2022-11-18 13:36:55.146295,2022-11-18 13:37:23.572382,8.0,1
5,enemy,0,defensive,2022-11-18 13:37:23.610381,2022-11-18 13:38:23.627872,41.0,0
5,enemy,1,aggressive,2022-11-18 13:38:23.675862,2022-11-18 13:38:43.566873,12.0,1
5,enemy,2,aimer,2022-11-18 13:38:43.599868,2022-11-18 13:39:07.289070,9.0,1
5,enemy,3,hider,2022-11-18 13:39:07.322041,2022-11-18 13:39:23.371319,5.0,1
5,enemy,4,runner,2022-11-18 13:39:23.409311,2022-11-18 13:39:53.167182,7.0,1
5,enemy,5,defensive,2022-11-18 13:39:53.201181,2022-11-18 13:40:53.211324,41.0,0
